areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E06000003,Redcar and Cleveland,utla,2021-12-18,20
E06000014,York,utla,2021-12-18,152
E06000050,Cheshire West and Chester,utla,2021-12-18,151
E08000001,Bolton,utla,2021-12-18,148
E08000016,Barnsley,utla,2021-12-18,108
E08000031,Wolverhampton,utla,2021-12-18,131
E08000032,Bradford,utla,2021-12-18,306
E09000018,Hounslow,utla,2021-12-18,293
E09000032,Wandsworth,utla,2021-12-18,261
E09000033,Westminster,utla,2021-12-18,233
E10000034,Worcestershire,utla,2021-12-18,216
S12000013,Na h-Eileanan Siar,utla,2021-12-18,13
S12000029,South Lanarkshire,utla,2021-12-18,136
S12000045,East Dunbartonshire,utla,2021-12-18,13
E06000003,Redcar and Cleveland,utla,2021-12-17,24
E06000014,York,utla,2021-12-17,108
E06000050,Cheshire West and Chester,utla,2021-12-17,164
E08000001,Bolton,utla,2021-12-17,130
E08000016,Barnsley,utla,2021-12-17,81
E08000031,Wolverhampton,utla,2021-12-17,123
E08000032,Bradford,utla,2021-12-17,161
E09000018,Hounslow,utla,2021-12-17,161
E09000032,Wandsworth,utla,2021-12-17,295
E09000033,Westminster,utla,2021-12-17,330
E10000034,Worcestershire,utla,2021-12-17,353
S12000013,Na h-Eileanan Siar,utla,2021-12-17,12
S12000029,South Lanarkshire,utla,2021-12-17,30
S12000045,East Dunbartonshire,utla,2021-12-17,26
E06000003,Redcar and Cleveland,utla,2021-12-16,26
E06000014,York,utla,2021-12-16,82
E06000050,Cheshire West and Chester,utla,2021-12-16,160
E08000001,Bolton,utla,2021-12-16,160
E08000016,Barnsley,utla,2021-12-16,104
E08000031,Wolverhampton,utla,2021-12-16,154
E08000032,Bradford,utla,2021-12-16,211
E09000018,Hounslow,utla,2021-12-16,147
E09000032,Wandsworth,utla,2021-12-16,203
E09000033,Westminster,utla,2021-12-16,221
E10000034,Worcestershire,utla,2021-12-16,266
S12000013,Na h-Eileanan Siar,utla,2021-12-16,12
S12000029,South Lanarkshire,utla,2021-12-16,24
S12000045,East Dunbartonshire,utla,2021-12-16,5
E06000003,Redcar and Cleveland,utla,2021-12-15,124
E06000014,York,utla,2021-12-15,87
E06000050,Cheshire West and Chester,utla,2021-12-15,155
E08000001,Bolton,utla,2021-12-15,147
E08000016,Barnsley,utla,2021-12-15,93
E08000031,Wolverhampton,utla,2021-12-15,198
E08000032,Bradford,utla,2021-12-15,280
E09000018,Hounslow,utla,2021-12-15,125
E09000032,Wandsworth,utla,2021-12-15,184
E09000033,Westminster,utla,2021-12-15,336
E10000034,Worcestershire,utla,2021-12-15,220
S12000013,Na h-Eileanan Siar,utla,2021-12-15,15
S12000029,South Lanarkshire,utla,2021-12-15,25
S12000045,East Dunbartonshire,utla,2021-12-15,25
E06000003,Redcar and Cleveland,utla,2021-12-14,97
E06000014,York,utla,2021-12-14,72
E06000050,Cheshire West and Chester,utla,2021-12-14,100
E08000001,Bolton,utla,2021-12-14,138
E08000016,Barnsley,utla,2021-12-14,84
E08000031,Wolverhampton,utla,2021-12-14,127
E08000032,Bradford,utla,2021-12-14,247
E09000018,Hounslow,utla,2021-12-14,163
E09000032,Wandsworth,utla,2021-12-14,141
E09000033,Westminster,utla,2021-12-14,151
E10000034,Worcestershire,utla,2021-12-14,222
S12000013,Na h-Eileanan Siar,utla,2021-12-14,3
S12000029,South Lanarkshire,utla,2021-12-14,20
S12000045,East Dunbartonshire,utla,2021-12-14,12
E06000003,Redcar and Cleveland,utla,2021-12-13,41
E06000014,York,utla,2021-12-13,77
E06000050,Cheshire West and Chester,utla,2021-12-13,77
E08000001,Bolton,utla,2021-12-13,69
E08000016,Barnsley,utla,2021-12-13,39
E08000031,Wolverhampton,utla,2021-12-13,104
E08000032,Bradford,utla,2021-12-13,193
E09000018,Hounslow,utla,2021-12-13,141
E09000032,Wandsworth,utla,2021-12-13,128
E09000033,Westminster,utla,2021-12-13,105
E10000034,Worcestershire,utla,2021-12-13,162
S12000013,Na h-Eileanan Siar,utla,2021-12-13,4
S12000029,South Lanarkshire,utla,2021-12-13,8
S12000045,East Dunbartonshire,utla,2021-12-13,13
E06000003,Redcar and Cleveland,utla,2021-12-12,72
E06000014,York,utla,2021-12-12,42
E06000050,Cheshire West and Chester,utla,2021-12-12,49
E08000001,Bolton,utla,2021-12-12,48
E08000016,Barnsley,utla,2021-12-12,96
E08000031,Wolverhampton,utla,2021-12-12,61
E08000032,Bradford,utla,2021-12-12,161
E09000018,Hounslow,utla,2021-12-12,98
E09000032,Wandsworth,utla,2021-12-12,91
E09000033,Westminster,utla,2021-12-12,72
E10000034,Worcestershire,utla,2021-12-12,95
S12000013,Na h-Eileanan Siar,utla,2021-12-12,8
S12000029,South Lanarkshire,utla,2021-12-12,334
S12000045,East Dunbartonshire,utla,2021-12-12,30
E06000003,Redcar and Cleveland,utla,2021-12-11,19
E06000014,York,utla,2021-12-11,37
E06000050,Cheshire West and Chester,utla,2021-12-11,108
E08000001,Bolton,utla,2021-12-11,138
E08000016,Barnsley,utla,2021-12-11,66
E08000031,Wolverhampton,utla,2021-12-11,80
E08000032,Bradford,utla,2021-12-11,212
E09000018,Hounslow,utla,2021-12-11,181
E09000032,Wandsworth,utla,2021-12-11,155
E09000033,Westminster,utla,2021-12-11,118
E10000034,Worcestershire,utla,2021-12-11,208
S12000013,Na h-Eileanan Siar,utla,2021-12-11,18
S12000029,South Lanarkshire,utla,2021-12-11,135
S12000045,East Dunbartonshire,utla,2021-12-11,8
E06000003,Redcar and Cleveland,utla,2021-12-10,25
E06000014,York,utla,2021-12-10,52
E06000050,Cheshire West and Chester,utla,2021-12-10,67
E08000001,Bolton,utla,2021-12-10,108
E08000016,Barnsley,utla,2021-12-10,47
E08000031,Wolverhampton,utla,2021-12-10,92
E08000032,Bradford,utla,2021-12-10,155
E09000018,Hounslow,utla,2021-12-10,153
E09000032,Wandsworth,utla,2021-12-10,167
E09000033,Westminster,utla,2021-12-10,186
E10000034,Worcestershire,utla,2021-12-10,287
S12000013,Na h-Eileanan Siar,utla,2021-12-10,19
S12000029,South Lanarkshire,utla,2021-12-10,80
S12000045,East Dunbartonshire,utla,2021-12-10,22
E06000003,Redcar and Cleveland,utla,2021-12-09,23
